date_reform,hourly_energy
2022061500,0.0
2022061501,0.0
2022061502,0.0
2022061503,0.0
2022061504,0.0
2022061505,0.0
2022061506,0.0
2022061507,2.992000103
2022061508,24.0
2022061509,48.0
2022061510,93.98400116
2022061511,144.0
2022061512,222.9920044
2022061513,293.9840088
2022061514,337.9840088
2022061515,337.9840088
2022061516,362.9920044
2022061517,369.9840088
2022061518,372.9920044
2022061519,372.9920044
2022061520,372.9920044
2022061521,372.9920044
2022061522,372.9920044
2022061523,372.9920044
2022061600,0.0
2022061601,0.0
2022061602,0.0
2022061603,0.0
2022061604,0.0
2022061605,0.0
2022061606,0.0
2022061607,0.0
2022061608,0.0
2022061609,0.0
2022061610,0.0
2022061611,0.0
2022061612,0.0
2022061613,0.0
2022061614,0.0
2022061615,0.0
2022061616,0.0
2022061617,0.0
2022061618,0.0
2022061619,0.0
2022061620,0.0
2022061621,0.0
2022061622,0.0
2022061623,0.0
2022061700,0.0
2022061701,0.0
2022061702,0.0
2022061703,0.0
2022061704,0.0
2022061705,0.0
2022061706,0.0
2022061707,0.0
2022061708,0.0
2022061709,0.0
2022061710,0.0
2022061711,0.0
2022061712,0.0
2022061713,0.0
2022061714,0.0
2022061715,0.0
2022061716,0.0
2022061717,0.0
2022061718,0.0
2022061719,0.0
2022061720,0.0
2022061721,0.0
2022061722,0.0
2022061723,0.0
2022061800,0.0
2022061801,0.0
2022061802,0.0
2022061803,0.0
2022061804,0.0
2022061805,0.0
2022061806,0.0
2022061807,0.0
2022061808,0.0
2022061809,0.0
2022061810,0.0
2022061811,0.0
2022061812,0.0
2022061813,0.0
2022061814,0.0
2022061815,0.0
2022061816,0.0
2022061817,0.0
2022061818,0.0
2022061819,0.0
2022061820,0.0
2022061821,0.0
2022061822,0.0
2022061823,0.0
2022061900,0.0
2022061901,0.0
2022061902,0.0
2022061903,0.0
2022061904,0.0
2022061905,0.0
2022061906,0.0
2022061907,0.991999984
2022061908,20.0
2022061909,56.0
2022061910,109.9840012
2022061911,172.0
2022061912,205.9839935
2022061913,232.0
2022061914,274.9920044
2022061915,288.9920044
2022061916,304.9920044
2022061917,309.9840088
2022061918,312.0
2022061919,312.0
2022061920,312.0
2022061921,312.0
2022061922,312.0
2022061923,312.0
2022062000,0.0
2022062001,0.0
2022062002,0.0
2022062003,0.0
2022062004,0.0
2022062005,0.0
2022062006,0.0
2022062007,0.0
2022062008,5.984000206
2022062009,24.0
2022062010,36.99200058
2022062011,64.0
2022062012,96.99199677
2022062013,132.9920044
2022062014,158.9920044
2022062015,177.9839935
2022062016,190.9920044
2022062017,201.9839935
2022062018,206.9920044
2022062019,206.9920044
2022062020,206.9920044
2022062021,206.9920044
2022062022,206.9920044
2022062023,206.9920044
2022062100,0.0
2022062101,0.0
2022062102,0.0
2022062103,0.0
2022062104,0.0
2022062105,0.0
2022062106,0.0
2022062107,2.0
2022062108,17.00799942
2022062109,46.0
2022062110,57.00799942
2022062111,76.0
2022062112,98.99199677
2022062113,118.9919968
2022062114,142.0
2022062115,176.0
2022062116,206.0
2022062117,222.0
2022062118,228.0
2022062119,228.0
2022062120,228.0
2022062121,228.0
2022062122,228.0
2022062123,228.0
2022062200,0.0
2022062201,0.0
2022062202,0.0
2022062203,0.0
2022062204,0.0
2022062205,0.0
2022062206,0.0
2022062207,1.008000016
2022062208,6.0
2022062209,24.0
2022062210,54.0
2022062211,88.0
2022062212,136.0
2022062213,172.0
2022062214,238.0
2022062215,294.0
2022062216,328.0
2022062217,348.0
2022062218,354.9920044
2022062219,354.9920044
2022062220,354.9920044
2022062221,354.9920044
2022062222,354.9920044
2022062223,354.9920044
2022062300,0.0
2022062301,0.0
2022062302,0.0
2022062303,0.0
2022062304,0.0
2022062305,0.0
2022062306,0.0
2022062307,2.016000032
2022062308,15.00800037
2022062309,44.0
2022062310,64.0
2022062311,82.01599884
2022062312,137.0079956
2022062313,195.0079956
2022062314,239.0079956
2022062315,248.0
2022062316,263.0079956
2022062317,273.0079956
2022062318,276.0
2022062319,276.0
2022062320,276.0
2022062321,276.0
2022062322,276.0
2022062323,276.0
2022062400,0.0
2022062401,0.0
2022062402,0.0
2022062403,0.0
2022062404,0.0
2022062405,0.0
2022062406,0.0
2022062407,2.016000032
2022062408,11.00800037
2022062409,47.00799942
2022062410,100.0
2022062411,161.0079956
2022062412,206.0160065
2022062413,239.0079956
2022062414,296.0
2022062415,309.0079956
2022062416,316.0
2022062417,322.0159912
2022062418,325.0079956
2022062419,325.0079956
2022062420,325.0079956
2022062421,325.0079956
2022062422,325.0079956
2022062423,325.0079956
2022062500,0.0
2022062501,0.0
2022062502,0.0
2022062503,0.0
2022062504,0.0
2022062505,0.0
2022062506,0.0
2022062507,2.0
2022062508,12.0
2022062509,41.00799942
2022062510,65.00800323
2022062511,110.9919968
2022062512,150.9920044
